Jim,Rennert,"American, b. 1958",Inner Dialogue,2017,bronze,77 x 36 x 48 in.,"$125,000.00"
Bjorn,Skaarup,"Danish, b. 1973","The Majestic Lion, Ed. 1/6",2008,bronze with green patina with jasper and lapis lazuli,75 1/4 x 38 1/2 x 20 in.,"$58,000.00"
Jim,Rennert,"American, b. 1958","Going Up, Ed 2/3",2009,bronze and steel,72 1/2 x 25 x 12 in.,"$49,500.00"
William,Nelson,"American, b. 1961",Abe and the X-Men,2019,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Aegean Sea,2022,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Arkansas,2022,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Betty and Cary,2018,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Bryant Park,2022,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Danger Mouse and Danger Mouse,2019,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",I Get No Kick From Champagne,2020,oil on canvas,72 x 40 in.,"$20,000.00"
William,Nelson,"American, b. 1961",I Taw a Putty Tat,2020,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",Munich,2022,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961","Oh, Deer!",2020,oil on canvas,72 x 72 in.,"$30,000.00"
William,Nelson,"American, b. 1961",Sophia and the Little Man,2018,oil on canvas,72 x 60 in.,"$26,500.00"
William,Nelson,"American, b. 1961",You Make Me Feel So Young,2020,oil on canvas,72 x 40 in.,"$20,000.00"
William,Nelson,"American, b. 1961",Zoinks!,2020,oil on canvas,72 x 36 in.,"$24,500.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Buy What You Love,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Dessert is Served,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Home Sweet Home,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Imagine,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Live by the Brush or Die by the Brush,2022,mixed media on canvas,72 x 48 in.,"$80,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",New York Dress Code,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Steven Cohen,2022,mixed media on canvas,72 x 60 in.,"$110,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",The Shopper,2022,mixed media on canvas,72 x 48 in.,"$80,000.00"
Adam S.,Umbach,"American, b. 1986",Little Floatie,2022,"Oil, enamel and oil stick on canvas",68 x 64 in.,"$28,000.00"
Bjorn,Skaarup,"Danish, b. 1973","Dancing Bear, Ed. 1/6",2014,bronze,67 x 19 1/2 x 32 in.,"$52,000.00"
Bjorn,Skaarup,"Danish, b. 1973","The Kangaroo, Ed. 2/6",,bronze,63 x 15 3/4 x 15 3/4 in.,"$40,000.00"
Scott,Duce,American b. 1956,Pharaoh,2009,oil on canvas,60 x 48 in.,"$14,000.00"
Scott,Duce,American b. 1956,Sun Autumn,2007,oil on canvas,60 x 48 in.,"$14,000.00"
Robert,Farber,"American, b. 1944","Butt Shadow, Ed. 2/10",1990,Fine Art Paper Pigment Print,60 x 40 in.,"$17,000.00"
Robert,Farber,"American, b. 1944",Lady in Pink ,1982,archival pigment print,60 x 40 in.,"$16,800.00"
Robert,Farber,"American, b. 1944",Spinning Flag,2014,dye infused aluminum photograph,60 x 40 in.,"$16,000.00"
William,Nelson,"American, b. 1961",51st and Lex,2022,oil on canvas,60 x 60 in.,"$22,500.00"
William,Nelson,"American, b. 1961",5th Avenue and Broadway,2022,oil on canvas,60 x 60 in.,"$22,500.00"
William,Nelson,"American, b. 1961",Belted by Gamma Rays,2020,oil on canvas,60 x 60 in.,"$22,500.00"
William,Nelson,"American, b. 1961",Bob and Jacques,2019,oil on canvas,60 x 60 in.,"$22,500.00"
William,Nelson,"American, b. 1961",Somewhere in the West,2022,oil on canvas,60 x 60 in.,"$22,500.00"
William,Nelson,"American, b. 1961","Sonora, Mexico",2022,oil on canvas,60 x 48 in.,"$19,500.00"
Jim,Rennert,"American, b. 1958",Things Are Looking Up,2016,Fine Art Digital Print,60 x 40 in.,"$9,500.00"
Jim,Rennert,"American, b. 1958",Tightrope,2016,Fine Art Digital Print,60 x 40 in.,"$9,500.00"
Bjorn,Skaarup,"Danish, b. 1973","The Frog, AP1",2008,bronze with black patina ,59 x 18 x 18 in.,"$45,000.00"
Nicholas,Berger,"American, b. 1949","Afternoon Departure, West Shore Terminal",2018,oil on panel,58 x 104 in.,"$60,000.00"
Nicole,Charbonnet,"American, b. 1966",Erased Kiely (Black No. 10),2015-2017,mixed media on canvas,54 x 54 in.,"$14,500.00"
Adam S.,Umbach,"American, b. 1986",Another Garden Scene (Pink),2022,oil and mixed media on canvas,54 x 70 x 1 1/2 in.,"$23,000.00"
Bruno,Lucchesi,"Italian, b. 1926","Woman Washing Foot, Ed. 2/2",1979,bronze,51 3/4 x 22 x 40 1/4 in.,"$49,000.00"
Deborah Ory & Ken,Browar,,"Christine Shevchenko and Devon Tuescher, Ed. of 10",,Archival Dye Sublimation on Aluminum,51 x 43 x 1 in.,"$8,900.00"
Deborah Ory & Ken,Browar,,"Christine Shevchenko, Ed. of 10",,Archival Dye Sublimation on Aluminum,51 x 43 x 1 in.,"$8,900.00"
Deborah Ory & Ken,Browar,,"Christine Shevchenko, Ed. of 10",,Archival Dye Sublimation on Aluminum,51 x 43 x 1 in.,"$8,900.00"
Michael,Aviano,"American, b.1927",Samson And Delilah,2008,oil on linen,50 x 40 in.,"$85,000.00"
Sarah,Lamb,"American, b. 1971",Goddess of Liberty Weathervane,2018,oil on linen,49 x 36 in.,"$28,500.00"
Debranne,Cingari,"American, b. 1963",Who Cares? ,2017,print,48 x 36 in.,"$4,750.00"
Mark S.,Kornbluth,"American, b. 1966","Ambassador 2, Ed. 2/10",2020,Dye sublimated on aluminum,48 x 64 in.,"$11,800.00"
Mark S.,Kornbluth,"American, b. 1966","Flowers, NYC #58, Ed. 1/10",2022,Dye sublimated on aluminum,48 x 64 in.,"$11,800.00"
William,Nelson,"American, b. 1961",Clifton Heights,2022,oil on canvas,48 x 48 in.,"$18,500.00"
William,Nelson,"American, b. 1961",Debbie and the Fight,2018,oil on canvas,48 x 60 in.,"$19,500.00"
William,Nelson,"American, b. 1961",East Village,2022,oil on canvas,48 x 48 in.,"$18,500.00"
William,Nelson,"American, b. 1961",The Fox So Cunning and Free,2020,oil on canvas,48 x 72 in.,"$25,500.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977","$150,000 Banana Now Warhol",2022,mixed media on canvas,48 x 72 in.,"$80,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Apollo,2021,mixed media on canvas,48 x 48 in.,"$50,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Bad Dog,2022,mixed media on canvas,48 x 72 in.,"$80,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Bodega Coffee,2021,mixed media on canvas,48 x 48 in.,"$50,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",F**k Fame,2022,mixed media on canvas,48 x 72 in.,"$80,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Give Us Our Flowers: My Body - My Choice - My Rights,2022,mixed media on canvas,48 x 48 in.,"$37,500.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Give Us Our Flowers: Sister Love,2022,mixed media on canvas,48 x 48 in.,"$37,500.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",Harlem,2021,mixed media on canvas,48 x 48 in.,"$50,000.00"
Guy Stanley,Philoche,"Haitian-American, b. 1977",I Need Tickets,2022,mixed media on canvas,48 x 48 in.,"$50,000.00"
